POTEAU_ID_POT,POSITION_POP,PANNEAU_ID_PAN,PANNEAU_ID_RPA,DESCRIPTION_RPA,CODE_RPA,FLECHE_PAN,TOPONYME_PAN,DESCRIPTION_CAT,POTEAU_VERSION_POT,DATE_CONCEPTION_POT,PAS_SUR_RUE,DESCRIPTION_REP,DESCRIPTION_RTP,X,Y,Longitude,Latitude,NOM_ARROND
133032,7,1619870,2413,\P EN TOUT TEMPS,SD-TT,0,,STATIONNEMENT,4,6/10/2021,,Réel,1- Tige et base,300607.781,5043431.5,-73.553672,45.530788,Ville-Marie
133034,5,1619854,2413,\P EN TOUT TEMPS,SD-TT,0,,STATIONNEMENT,4,6/10/2021,,Réel,4- Poteau en bois,300612.406,5043455.5,-73.553613,45.531004,Ville-Marie
133035,5,1665389,2413,\P EN TOUT TEMPS,SD-TT,0,,STATIONNEMENT,11,12/3/2021,,Réel,2- Tige et manchon,300620.719,5043454.5,-73.553507,45.530995,Ville-Marie
133042,7,544403,1545,\P RESERVE AUTOBUS,R-AU,2,,STATIONNEMENT,2,6/3/2008,,Enlevé,2- Tige et manchon,300581.249,5040338.974,-73.553985,45.50296,Ville-Marie
133042,6,544404,1512,PANONCEAU DEBAR. SEULEMENT,PX-PD,0,,STAT-PANNONC.,2,6/3/2008,,Enlevé,2- Tige et manchon,300581.249,5040338.974,-73.553985,45.50296,Ville-Marie
133054,2,1677416,1256,P 15 min,PD-DT,0,,STATIONNEMENT,12,2/2/2022,,Réel,3- Fût,300583.313,5040392.0,-73.553959,45.503437,Ville-Marie
133060,7,1677407,13809,\P 06h30-07h30 LUN. JEU. 1 AVIL AU 1 DEC.,SB-AE-A,0,,STATIONNEMENT,12,2/2/2022,,Réel,3- Fût,300586.783,5040412.251,-73.553915,45.503619,Ville-Marie
133060,6,1677408,1256,P 15 min,PD-DT,2,,STATIONNEMENT,12,2/2/2022,,Réel,3- Fût,300586.783,5040412.251,-73.553915,45.503619,Ville-Marie
133060,5,1677409,1281,P 60 min,PD-TT,3,,STATIONNEMENT,12,2/2/2022,,Réel,3- Fût,300586.783,5040412.251,-73.553915,45.503619,Ville-Marie
133060,4,1677410,9488,PANONCEAU - EXCEPTE VEHICULES MUNIS D'UN PERMIS,PX-PR,0,,STAT-PANNONC.,12,2/2/2022,,Réel,3- Fût,300586.783,5040412.251,-73.553915,45.503619,Ville-Marie
133063,7,1575340,1281,P 60 min,PD-TT,0,,STATIONNEMENT,7,12/21/2020,,Réel,3- Fût,300590.313,5040429.0,-73.55387,45.50377,Ville-Marie
133063,6,1575341,9488,PANONCEAU - EXCEPTE VEHICULES MUNIS D'UN PERMIS,PX-PR,0,,STAT-PANNONC.,7,12/21/2020,,Réel,3- Fût,300590.313,5040429.0,-73.55387,45.50377,Ville-Marie
133066,7,1575334,13809,\P 06h30-07h30 LUN. JEU. 1 AVIL AU 1 DEC.,SB-AE-A,0,,STATIONNEMENT,11,12/21/2020,,Réel,3- Fût,300594.531,5040446.0,-73.553816,45.503923,Ville-Marie
133066,6,1575335,1622,\P RESERVE S3R          (EN TOUT TEMPS),R-QG,3,,STATIONNEMENT,11,12/21/2020,,Réel,3- Fût,300594.531,5040446.0,-73.553816,45.503923,Ville-Marie
133066,5,1575336,1281,P 60 min,PD-TT,2,,STATIONNEMENT,11,12/21/2020,,Réel,3- Fût,300594.531,5040446.0,-73.553816,45.503923,Ville-Marie
133066,4,1575337,9488,PANONCEAU - EXCEPTE VEHICULES MUNIS D'UN PERMIS,PX-PR,0,,STAT-PANNONC.,11,12/21/2020,,Réel,3- Fût,300594.531,5040446.0,-73.553816,45.503923,Ville-Marie
133071,7,1678992,2413,\P EN TOUT TEMPS,SD-TT,2,,STATIONNEMENT,12,10/8/2020,,Réel,2- Tige et manchon,300608.063,5040509.0,-73.553644,45.50449,Ville-Marie
133071,6,1678993,11449,\P EXCEPTE S3R EN TOUT TEMPS,R-QG-2S,3,,STATIONNEMENT,12,10/8/2020,,Réel,2- Tige et manchon,300608.063,5040509.0,-73.553644,45.50449,Ville-Marie
133082,7,1678996,13809,\P 06h30-07h30 LUN. JEU. 1 AVIL AU 1 DEC.,SB-AE-A,0,,STATIONNEMENT,14,10/8/2020,,Réel,2- Tige et manchon,300614.094,5040536.5,-73.553567,45.504737,Ville-Marie
133082,6,1678997,1590,\P RESERVE S3R 09-23h       (2 SECTEURS),R-PF-2S,3,,STATIONNEMENT,14,10/8/2020,,Réel,2- Tige et manchon,300614.094,5040536.5,-73.553567,45.504737,Ville-Marie
