POTEAU_ID_POT,POSITION_POP,PANNEAU_ID_PAN,PANNEAU_ID_RPA,DESCRIPTION_RPA,CODE_RPA,FLECHE_PAN,TOPONYME_PAN,DESCRIPTION_CAT,POTEAU_VERSION_POT,DATE_CONCEPTION_POT,PAS_SUR_RUE,DESCRIPTION_REP,DESCRIPTION_RTP,X,Y,Longitude,Latitude,NOM_ARROND
206446,7,768120,2413,\P EN TOUT TEMPS,SD-TT,2,206446---0,STATIONNEMENT,0,3/22/2010,,Réel,1- Tige et base,287207.8,5038215.67,-73.725042,45.483644,Saint-Laurent
206450,7,768122,2413,\P EN TOUT TEMPS,SD-TT,2,206450---0,STATIONNEMENT,0,3/22/2010,,Réel,4- Poteau en bois,286968.81,5038678.2,-73.728116,45.4878,Saint-Laurent
206459,7,770315,14985,8H À 17H - LUN MER VEN,SLR-ST-68,0,206459---0,STATIONNEMENT,0,3/22/2010,,Réel,1- Tige et base,286110.69,5039397.82,-73.739122,45.494253,Saint-Laurent
206460,7,770316,14985,8H À 17H - LUN MER VEN,SLR-ST-68,0,206460---0,STATIONNEMENT,0,3/22/2010,,Réel,1- Tige et base,286138.68,5039429.12,-73.738765,45.494536,Saint-Laurent
206461,7,770317,14985,8H À 17H - LUN MER VEN,SLR-ST-68,0,206461---0,STATIONNEMENT,0,3/22/2010,,Réel,1- Tige et base,286080.69,5039365.78,-73.739504,45.493964,Saint-Laurent
206462,6,768123,2413,\P EN TOUT TEMPS,SD-TT,2,206462---2,STATIONNEMENT,0,3/22/2010,,Réel,1- Tige et base,286044.67,5039326.82,-73.739964,45.493612,Saint-Laurent
206462,7,770318,14985,8H À 17H - LUN MER VEN,SLR-ST-68,0,206462---1,STATIONNEMENT,0,3/22/2010,,Réel,1- Tige et base,286044.67,5039326.82,-73.739964,45.493612,Saint-Laurent
206473,7,768124,2413,\P EN TOUT TEMPS,SD-TT,0,206473---0,STATIONNEMENT,0,3/22/2010,,Réel,3- Fût,287231.3,5038773.95,-73.724762,45.488668,Saint-Laurent
206498,7,756071,14914,SAUF AUTOBUS SCOLAIRES JOURS DE CLASSE,SLR-ST-180,2,206498---0,STATIONNEMENT,0,3/22/2010,,Réel,4- Poteau en bois,288441.55,5037909.4,-73.70925,45.480918,Saint-Laurent
206505,7,756378,14926,15H00 À 18H00 - LUN À VEN,SLR-ST-191,0,206505---1,STATIONNEMENT,0,3/22/2010,,Réel,4- Poteau en bois,288301.61,5038035.66,-73.711044,45.482051,Saint-Laurent
206505,6,757482,13697,\P 7h-19h LUN. MER. VEN.,ST-ON,0,206505---2,STATIONNEMENT,0,3/22/2010,,Réel,4- Poteau en bois,288301.61,5038035.66,-73.711044,45.482051,Saint-Laurent
206507,7,756337,14928,ARRÊT D'AUTOBUS LUNDI À VENDREDI,SLR-ST-193,2,206507---0,STATIONNEMENT,0,3/22/2010,,Réel,3- Fût,287924.53,5038387.03,-73.71588,45.485204,Saint-Laurent
206512,6,757196,14983,8H À 17H LUN MER VEN 15 NOV - 15 AVR,SLR-ST-66,0,206512---2,STATIONNEMENT,0,3/22/2010,,Réel,3- Fût,286654.84,5039666.77,-73.732169,45.496688,Saint-Laurent
206512,7,768126,2413,\P EN TOUT TEMPS,SD-TT,2,206512---1,STATIONNEMENT,0,3/22/2010,,Réel,3- Fût,286654.84,5039666.77,-73.732169,45.496688,Saint-Laurent
206520,7,768127,2413,\P EN TOUT TEMPS,SD-TT,0,206520---0,STATIONNEMENT,0,3/22/2010,,Réel,4- Poteau en bois,289056.0,5037663.41,-73.701382,45.478719,Saint-Laurent
206521,7,771841,14843,10 MIN - JOURS DE CLASSE,SLR-ST-116,2,206521---1,STATIONNEMENT,0,3/22/2010,,Réel,4- Poteau en bois,290240.94,5040926.4,-73.686323,45.508106,Saint-Laurent
